source_path,curated_path,corpus,bank,languages_raw,has_chi_id,has_chi_tier,child_utterance_count,child_token_count,eligible_english_child_transcript,analysis_ready,exclude_reason,sha256,download_date,qc_status
data/Eigsti/ASD/1010.cha,data/curated/english_child_transcripts/Eigsti/ASD/1010.cha,Eigsti,project_data,eng,True,True,164,719,True,True,,f2b5824b46386f684aadc22584e143b423a50617e196d9f4fbc5b321b327295d,,pass
data/Eigsti/ASD/1012.cha,data/curated/english_child_transcripts/Eigsti/ASD/1012.cha,Eigsti,project_data,eng,True,True,209,335,True,True,,ec3983cc7b451afef0c3074396223f49d2ff35015b201ba27acc168c22e0b21a,,pass
data/Eigsti/ASD/1017.cha,data/curated/english_child_transcripts/Eigsti/ASD/1017.cha,Eigsti,project_data,eng,True,True,247,879,True,True,,77815150f3387c320b772c6e4b21557a28e204dd8d8ad0f7654f9e0402a82675,,pass
data/Eigsti/ASD/1020.cha,data/curated/english_child_transcripts/Eigsti/ASD/1020.cha,Eigsti,project_data,eng,True,True,257,1035,True,True,,e4190d7a4b60a4b8e14f543bd8d676365ab2e3e1d6f9771701c82d5511cb1623,,pass
data/Eigsti/ASD/1032.cha,data/curated/english_child_transcripts/Eigsti/ASD/1032.cha,Eigsti,project_data,eng,True,True,231,681,True,True,,a24c7580eb6b0ff79866ea38fd55f0676469986267e8344026290689a68570f8,,pass
data/Eigsti/ASD/1035.cha,data/curated/english_child_transcripts/Eigsti/ASD/1035.cha,Eigsti,project_data,eng,True,True,139,330,True,True,,0d6765f04433467078c19f0a5ab67ce6d648064db4ed4101cc307e205965b0eb,,pass
data/Eigsti/ASD/1040.cha,data/curated/english_child_transcripts/Eigsti/ASD/1040.cha,Eigsti,project_data,eng,True,True,170,783,True,True,,a069ee92dfe7f07705983e5bbbd1e1be0e079bf28b6f70e2e1e81d2cb613c2f3,,pass
data/Eigsti/ASD/1044.cha,data/curated/english_child_transcripts/Eigsti/ASD/1044.cha,Eigsti,project_data,eng,True,True,138,414,True,True,,c0468a6ea2adad591e679c4f496f96fa3fe7baefb1e2b5f41df47b08d3995500,,pass
data/Eigsti/ASD/1045.cha,data/curated/english_child_transcripts/Eigsti/ASD/1045.cha,Eigsti,project_data,eng,True,True,139,473,True,True,,65ecef0e65150283dcaadf8321b053b0c9500fe274df413d2ca7b48a5a5f7847,,pass
data/Eigsti/ASD/1046.cha,data/curated/english_child_transcripts/Eigsti/ASD/1046.cha,Eigsti,project_data,eng,True,True,181,595,True,True,,99b4da4a1f50df389d86d2d86c7f396b01d4a37b3da8988d13a1a54b949c85cc,,pass
data/Eigsti/ASD/1047.cha,data/curated/english_child_transcripts/Eigsti/ASD/1047.cha,Eigsti,project_data,eng,True,True,134,406,True,True,,d0c8326931f6bbc92aa1eb8ffd3da240d336900a825b9535e152dfe9b044b422,,pass
data/Eigsti/ASD/1070.cha,data/curated/english_child_transcripts/Eigsti/ASD/1070.cha,Eigsti,project_data,eng,True,True,79,144,True,True,,d3c853798ef00cf3722d283b279560363e53fc35d16c63543fadfa08e1a7750e,,pass
data/Eigsti/ASD/1072.cha,data/curated/english_child_transcripts/Eigsti/ASD/1072.cha,Eigsti,project_data,eng,True,True,214,827,True,True,,431ed5f582f432cd26f945c0b8367194e2304e3945348b6c1b66db710ef5263d,,pass
data/Eigsti/ASD/1081.cha,data/curated/english_child_transcripts/Eigsti/ASD/1081.cha,Eigsti,project_data,eng,True,True,144,411,True,True,,1267add6230672ce32a8939d6e72034e9f3d4317ada5cc1c00e52911e60fa439,,pass
